番号 	Winner1 	Winner2 	Winner3 	Winner4 	Loser1 	Loser2 	Loser3 	Loser4 	レート増 	レート減
2719 	culchan 	arata 	shiden 	yy 	moomin 	Caesar 	maedy 	En_AOC 	16 	15
2720 	arata 	maedy 	Player3 	En_AOC 	moomin 	Caesar 	kircheis 	vabiron 	15 	14
2721 	RAMI 	Cartier 	maedy 	Player3 	moomin 	Caesar 	En_AOC 	borma 	14 	13
2722 	roki 	Caesar 	Izzey 	borma 	arata 	RAMI 	maedy 	Player3 	18 	17
2723 	aikuchi 	Chrysler 	En_AOC 	amain 	moomin 	arata 	Rai^-^ 	Lionjack 	12 	11
2724 	aikuchi 	arata 	Chrysler 	En_AOC 	moomin 	Caesar 	cafu 	Rai^-^ 	10 	9
2725 	Caesar 	Chrysler 	cafu 	En_AOC 	aikuchi 	moomin 	shiden 	yy 	15 	14
2726 	co2 	Caesar 	Rai^-^ 	En_AOC 	moomin 	Chrysler 	cafu 	itou 	13 	12
2727 	Caesar 	say_to 	Rai^-^ 	Player3 	moomin 	cafu 	En_AOC 	itou 	14 	13
2728 	moomin 	Caesar 	say_to 	Player3 	papasu 	arata 	cafu 	Lionjack 	14 	13
2729 	mmn 	En_AOC 	syuu 	vabiron 	roki 	TENKA 	bashoh 	yy 	14 	13
2730 	roki 	TENKA 	bashoh 	vabiron 	maedy 	Player3 	En_AOC 	yy 	13 	12
2731 	roki 	vabiron 	yasunofu 	GuroMen 	Player3 	En_AOC 	TENKA 	wildcarp 	15 	14
2732 	maedy 	Player3 	En_AOC 	kircheis 	Caesar 	TENKA 	bashoh 	GuroMen 	10 	9
2733 	roki 	En_AOC 	syuu 	kircheis 	Caesar 	maedy 	bashoh 	suisei 	12 	11
2734 	moomin 	Chrysler 	cafu 	En_AOC 	pietan 	papasu 	amain 	Lionjack 	12 	11
2735 	pietan 	MisakaMikoto 	En_AOC 	Lionjack 	culchan 	papasu 	cafu 	amain 	16 	15
2736 	pietan 	MisakaMikoto 	En_AOC 	yy 	culchan 	papasu 	cafu 	amain 	12 	11
2737 	culchan 	arata 	En_AOC 	amain 	MisakaMikoto 	Cartier 	syuu 	yoshihiro 	14 	13
2738 	moomin 	arata 	syuu 	Player3 	papasu 	cafu 	Cartier 	TENKA 	10 	9
2739 	papasu 	roki 	En_AOC 	TENKA 	culchan 	ninunufu 	syuu 	Player3 	15 	14
2740 	culchan 	syuu 	Rai^-^ 	Player3 	papasu 	roki 	TENKA 	vabiron 	14 	13
2741 	papasu 	roki 	Izzey 	suisei 	moomin 	arata 	En_AOC 	Rai^-^ 	13 	12
2742 	moomin 	arata 	Izzey 	suisei 	papasu 	hiro_ 	En_AOC 	Rai^-^ 	11 	10
2743 	roki 	arata 	poppio 	Rai^-^ 	pietan 	Chrysler 	Izzey 	yy 	18 	17
2744 	pietan 	poppio 	Izzey 	yy 	roki 	arata 	Chrysler 	TENKA 	18 	17
2745 	roki 	En_AOC 	TENKA 	Lionjack 	Chrysler 	Izzey 	kircheis 	suisei 	12 	11
2746 	moomin 	cafu 	maedy 	bashoh 	aikuchi 	arata 	say_to 	Lionjack 	16 	15
2747 	arata 	Izzey 	say_to 	Rai^-^ 	moomin 	aikuchi 	amain 	bashoh 	16 	15
2748 	moomin 	Rai^-^ 	En_AOC 	yy 	aikuchi 	maedy 	amain 	bashoh 	16 	15
2749 	otyoufx 	Rai^-^ 	En_AOC 	amain 	roki 	maedy 	nanaco 	Lionjack 	14 	13
2750 	moomin 	Caesar 	maedy 	amain 	roki 	arata 	Rai^-^ 	En_AOC 	11 	10
2751 	papasu 	Izzey 	Cartier 	syuu 	moomin 	roki 	Rai^-^ 	Player3 	14 	13
2752 	Caesar 	Chrysler 	amain 	suisei 	arata 	maedy 	En_AOC 	Lionjack 	11 	10
2753 	Chrysler 	maedy 	amain 	TENKA 	Caesar 	say_to 	En_AOC 	suisei 	14 	13
2754 	roki 	mmn 	Cartier 	Player3 	moomin 	Izzey 	ninunufu 	syuu 	15 	14
2755 	Izzey 	ninunufu 	maedy 	Player3 	Caesar 	Cartier 	say_to 	amain 	13 	12
2756 	moomin 	say_to 	Player3 	amain 	Caesar 	Izzey 	fiiisan 	Lionjack 	14 	13
2757 	nomonomo 	Izzey 	Cartier 	wildcarp 	Caesar 	Chrysler 	En_AOC 	TENKA 	15 	14
2758 	arata 	cafu 	Izzey 	borma 	Caesar 	Chrysler 	En_AOC 	TENKA 	15 	14
2759 	Caesar 	Chrysler 	mmn 	En_AOC 	papasu 	arata 	cafu 	TENKA 	11 	10
2760 	MisakaMikoto 	syuu 	TENKA 	vabiron 	Caesar 	cafu 	En_AOC 	borma 	15 	14
2761 	aikuchi 	mmn 	ninunufu 	amain 	Caesar 	arata 	Chrysler 	Lionjack 	14 	13
2762 	Caesar 	mmn 	Rato 	bashoh 	arata 	Izzey 	Cartier 	En_AOC 	14 	13
2763 	Chrysler 	Cartier 	KUREBAYAS 	En_AOC 	Caesar 	cafu 	Izzey 	bashoh 	15 	14
2764 	culchan 	cafu 	Player3 	En_AOC 	moomin 	mmn 	Izzey 	TENKA 	14 	13
2765 	Caesar 	cafu 	maedy 	syuu 	moomin 	mmn 	Rai^-^ 	En_AOC 	15 	14
2766 	moomin 	Caesar 	Rai^-^ 	borma 	mmn 	cafu 	maedy 	En_AOC 	13 	12
2767 	mmn 	cafu 	maedy 	poll 	culchan 	Rai^-^ 	En_AOC 	borma 	14 	13
2768 	Caesar 	cafu 	poll 	borma 	culchan 	syuu 	TENKA 	suisei 	14 	13
2769 	maedy 	TENKA 	bashoh 	suisei 	syuu 	Player3 	yy 	yasunofu 	14 	13
2770 	papasu 	mmn 	Izzey 	Lionjack 	aikuchi 	Chrysler 	Rai^-^ 	Qsonata 	14 	13
2771 	maedy 	syuu 	kircheis 	suisei 	say_to 	sakura 	TENKA 	bashoh 	16 	15
2772 	culchan 	maedy 	TENKA 	kircheis 	cafu 	Izzey 	say_to 	Rai^-^ 	17 	16
2773 	Caesar 	En_AOC 	bashoh 	Mz 	moomin 	Player3 	Lionjack 	wildcarp 	11 	10
2774 	Caesar 	cafu 	maedy 	bashoh 	moomin 	Chrysler 	En_AOC 	yy 	10 	9
2775 	moomin 	Chrysler 	En_AOC 	poll 	Caesar 	cafu 	maedy 	Lionjack 	11 	10
2776 	Caesar 	Chrysler 	En_AOC 	wildcarp 	ress 	cafu 	maedy 	Lionjack 	17 	16
2777 	Caesar 	maedy 	Rai^-^ 	En_AOC 	Chrysler 	mmn 	cafu 	GuroMen 	13 	12
2778 	Izzey 	syuu 	bashoh 	suisei 	Cartier 	Rai^-^ 	sakura 	GuroMen 	15 	14
2779 	Caesar 	Rai^-^ 	TENKA 	suisei 	Cartier 	Player3 	amain 	bashoh 	9 	8
2780 	Caesar 	say_to 	syuu 	borma 	teranushi 	mmn 	En_AOC 	wildcarp 	17 	16
2781 	Caesar 	mmn 	KUREBAYAS 	bashoh 	moomin 	maedy 	say_to 	En_AOC 	13 	12
2782 	mmn 	cafu 	maedy 	say_to 	roki 	Caesar 	En_AOC 	bashoh 	11 	10
2783 	MisakaMikoto 	cafu 	maedy 	say_to 	roki 	Caesar 	Chrysler 	En_AOC 	11 	10
2784 	Player3 	Hikari 	En_AOC 	bashoh 	teranushi 	Rai^-^ 	minagi 	GuroMen 	9 	8
2785 	aikuchi 	Hikari 	En_AOC 	Lionjack 	Caesar 	Player3 	Rai^-^ 	minagi 	14 	13
2786 	Caesar 	Player3 	Hikari 	TENKA 	moomin 	Rai^-^ 	En_AOC 	bashoh 	16 	15
2787 	Caesar 	Izzey 	Cartier 	TENKA 	moomin 	Lake 	say_to 	Hikari 	11 	10
2788 	Caesar 	syuu 	Player3 	Hikari 	moomin 	Lake 	say_to 	TENKA 	14 	13
2789 	Izzey 	Cartier 	kircheis 	suisei 	Caesar 	Player3 	Lionjack 	ninneko 	10 	9
2790 	KUREBAYAS 	say_to 	syuu 	Hikari 	moomin 	Lake 	amain 	poll 	11 	10
2791 	Caesar 	mmn 	En_AOC 	bashoh 	moomin 	say_to 	Player3 	Hikari 	10 	9
2792 	roki 	Caesar 	TENKA 	borma 	moomin 	maedy 	Player3 	amain 	9 	8
2793 	moomin 	maedy 	say_to 	En_AOC 	Caesar 	ress 	Player3 	bashoh 	13 	12
2794 	roki 	ress 	maedy 	En_AOC 	culchan 	Caesar 	syuu 	bashoh 	14 	13
2795 	roki 	Caesar 	Chrysler 	mikan 	aikuchi 	moomin 	Lake 	En_AOC 	11 	10
2796 	roki 	moomin 	Caesar 	mikan 	co2 	aikuchi 	Lake 	En_AOC 	8 	7
2797 	ress 	Chrysler 	En_AOC 	poll 	moomin 	Caesar 	TENKA 	kircheis 	16 	15
2798 	Chrysler 	Izzey 	Hikari 	Rai^-^ 	moomin 	Caesar 	TENKA 	kircheis 	13 	12
2799 	moomin 	Chrysler 	Player3 	kircheis 	aikuchi 	Caesar 	amain 	poll 	13 	12
2800 	Izzey 	hiro_ 	Hikari 	TENKA 	culchan 	En_AOC 	borma 	suisei 	14 	13
2801 	Chrysler 	KUREBAYAS 	En_AOC 	bashoh 	Caesar 	mmn 	amain 	suisei 	13 	12
2802 	Caesar 	ress 	borma 	suisei 	moomin 	Hikari 	En_AOC 	amain 	12 	11
2803 	Caesar 	Chrysler 	mmn 	amain 	roki 	moomin 	maedy 	TENKA 	11 	10
2804 	roki 	moomin 	Rai^-^ 	amain 	Caesar 	Chrysler 	maedy 	kircheis 	17 	16
2805 	Caesar 	maedy 	KUREBAYAS 	kircheis 	moomin 	Hikari 	Rai^-^ 	En_AOC 	8 	7
2806 	Chrysler 	syuu 	Player3 	poll 	Caesar 	Izzey 	amain 	suisei 	14 	13
2807 	Chrysler 	Izzey 	En_AOC 	amain 	roki 	Caesar 	TENKA 	suisei 	14 	13
2808 	roki 	Caesar 	TENKA 	borma 	Chrysler 	Izzey 	Player3 	En_AOC 	17 	16
2809 	roki 	moomin 	syuu 	poll 	Caesar 	Izzey 	Cartier 	Player3 	16 	15
2810 	ress 	Izzey 	syuu 	TENKA 	Caesar 	Lia 	En_AOC 	appletea 	13 	12
2811 	moomin 	maedy 	Cartier 	Hikari 	Caesar 	Chrysler 	mmn 	minagi 	16 	15
2812 	Caesar 	Chrysler 	Hikari 	Lionjack 	mmn 	maedy 	Cartier 	amain 	14 	13
2813 	Caesar 	Chrysler 	maedy 	Lake 	MisakaMikoto 	mmn 	say_to 	amain 	12 	11
2814 	co2 	nomonomo 	Lia 	En_AOC 	MisakaMikoto 	mmn 	maedy 	say_to 	15 	14
2815 	arata 	ninunufu 	maedy 	Cartier 	roki 	moomin 	Izzey 	koryu5 	10 	9
2816 	moomin 	Cartier 	poll 	appletea 	Izzey 	maedy 	hiro_ 	koryu5 	14 	13
2817 	roki 	maedy 	Player3 	SystemC 	culchan 	Caesar 	koryu5 	GuroMen 	15 	14
2818 	Caesar 	ress 	arata 	yy 	culchan 	roki 	amain 	poll 	7 	6
2819 	culchan 	arata 	maedy 	Hikari 	roki 	moomin 	Caesar 	poll 	12 	11
2820 	roki 	moomin 	maedy 	suisei 	Caesar 	arata 	Hikari 	En_AOC 	12 	11
2821 	moomin 	mmn 	syuu 	Player3 	Chrysler 	cafu 	ninunufu 	Hikari 	14 	13
2822 	culchan 	ress 	En_AOC 	suisei 	Caesar 	arata 	maedy 	yy 	14 	13
2823 	Cartier 	syuu 	Player3 	En_AOC 	Chrysler 	cafu 	Hikari 	yuzuki 	13 	12
2824 	Caesar 	arata 	maedy 	amain 	Chrysler 	cafu 	Izzey 	Hikari 	13 	12
2825 	culchan 	Caesar 	cafu 	yy 	Chrysler 	arata 	Izzey 	maedy 	19 	18
2826 	Lia 	En_AOC 	amain 	TENKA 	mmn 	Cartier 	borma 	appletea 	17 	16
2827 	arata 	Lia 	cafu 	maedy 	Caesar 	Chrysler 	mmn 	En_AOC 	11 	10
2828 	mmn 	cafu 	maedy 	borma 	co2 	Caesar 	yy 	appletea 	11 	10
2829 	culchan 	Caesar 	arata 	cafu 	pietan 	co2 	Chrysler 	En_AOC 	14 	13
2830 	ress 	maedy 	minagi 	fedista 	moomin 	mikan 	yy 	appletea 	7 	6
2831 	aikuchi 	ress 	mikan 	appletea 	moomin 	maedy 	En_AOC 	yy 	12 	11
2832 	culchan 	aikuchi 	maedy 	yy 	moomin 	ress 	cafu 	En_AOC 	15 	14
2833 	nomonomo 	Caesar 	Cartier 	yy 	cafu 	ninunufu 	shiden 	maedy 	11 	10
2834 	Caesar 	cafu 	maedy 	Cartier 	culchan 	shiden 	Lake 	say_to 	12 	11
2835 	culchan 	Caesar 	say_to 	suisei 	moomin 	cafu 	maedy 	Hikari 	16 	15
2836 	Caesar 	arata 	say_to 	suisei 	moomin 	cafu 	maedy 	koryu5 	14 	13
2837 	Caesar 	arata 	maedy 	yy 	moomin 	cafu 	Izzey 	TENKA 	10 	9
2838 	moomin 	maedy 	Izzey 	hiro_ 	Chrysler 	mmn 	cafu 	say_to 	12 	11
2839 	ress 	Chrysler 	maedy 	Izzey 	moomin 	Caesar 	cafu 	Hikari 	8 	7
2840 	roki 	moomin 	Caesar 	maedy 	pietan 	arata 	Chrysler 	Hikari 	9 	8
2841 	Caesar 	arata 	cafu 	Hikari 	roki 	moomin 	maedy 	yy 	8 	7
2842 	roki 	Caesar 	moomin 	cafu 	culchan 	arata 	Chrysler 	maedy 	14 	13
2843 	MisakaMikoto 	ress 	arata 	mmn 	pietan 	nomonomo 	Chrysler 	cafu 	12 	11
2844 	pietan 	nomonomo 	syuu 	En_AOC 	roki 	Lia 	Chrysler 	cafu 	13 	12
2845 	arata 	cafu 	Cartier 	say_to 	culchan 	Caesar 	Hikari 	ninneko 	8 	7
2846 	culchan 	Chrysler 	say_to 	bashoh 	Caesar 	cafu 	Cartier 	Hikari 	9 	8
2847 	Caesar 	cafu 	Hikari 	bashoh 	arata 	Chrysler 	amain 	TENKA 	11 	10
2848 	arata 	Cartier 	amain 	TENKA 	cafu 	maedy 	say_to 	yy 	11 	10
2849 	Chrysler 	hiro_ 	Hikari 	bashoh 	Caesar 	Izzey 	daichi 	simantyu 	16 	15
2850 	cafu 	Izzey 	maedy 	poll 	Caesar 	say_to 	Hikari 	TENKA 	10 	9
2851 	Caesar 	Chrysler 	Hikari 	TENKA 	roki 	cafu 	maedy 	yy 	15 	14
2852 	arata 	Chrysler 	cafu 	Hikari 	roki 	Caesar 	KUREBAYAS 	borma 	12 	11
2853 	roki 	Chrysler 	cafu 	ninneko 	Caesar 	arata 	Hikari 	borma 	15 	14
2854 	roki 	moomin 	bashoh 	ninneko 	arata 	cafu 	Hikari 	borma 	13 	12
2855 	arata 	hiro_ 	poll 	vabiron 	Cartier 	say_to 	Hikari 	amain 	15 	14
2856 	Caesar 	say_to 	Player3 	suisei 	Izzey 	Cartier 	Hikari 	poll 	13 	12
2857 	Caesar 	hiro_ 	say_to 	suisei 	maedy 	Cartier 	Player3 	Hikari 	14 	13
2858 	Caesar 	syuu 	Player3 	Hikari 	moomin 	maedy 	say_to 	kircheis 	12 	11
2859 	Chrysler 	maedy 	say_to 	Hikari 	Caesar 	moomin 	bashoh 	kircheis 	12 	11
2860 	arata 	Chrysler 	maedy 	kircheis 	Caesar 	moomin 	Hikari 	bashoh 	15 	14
2861 	moomin 	Chrysler 	hiro_ 	kircheis 	Caesar 	poppio 	En_AOC 	Hikari 	9 	8
2862 	Caesar 	syuu 	say_to 	kircheis 	Chrysler 	iti_monme 	Hikari 	borma 	10 	9
2863 	Lia 	say_to 	Player3 	Hikari 	Chrysler 	iti_monme 	En_AOC 	amain 	13 	12
2864 	say_to 	Hikari 	irina 	borma 	iti_monme 	Player3 	amain 	ninneko 	14 	13
2865 	ress 	Player3 	Hikari 	borma 	roki 	iti_monme 	irina 	ninneko 	8 	7
2866 	roki 	Chrysler 	otyoufx 	ninneko 	ress 	poppio 	iti_monme 	Hikari 	18 	17
2867 	co2 	iti_monme 	Hikari 	borma 	roki 	arata 	En_AOC 	ninneko 	16 	15
2868 	Izzey 	Cartier 	syuu 	ninneko 	arata 	Player3 	TENKA 	borma 	12 	11
2869 	moomin 	arata 	TENKA 	borma 	Izzey 	Cartier 	syuu 	Player3 	13 	12
2870 	moomin 	mmn 	KUREBAYAS 	suisei 	arata 	Izzey 	Cartier 	TENKA 	12 	11
2871 	KUREBAYAS 	hiro_ 	simantyu 	borma 	arata 	Player3 	TENKA 	koryu5 	13 	12
2872 	arata 	maedy 	amain 	yy 	teranushi 	hiro_ 	Player3 	koryu5 	13 	12
2873 	roki 	maedy 	hiro_ 	ninneko 	Caesar 	teranushi 	amain 	borma 	14 	13
2874 	Caesar 	teranushi 	hiro_ 	ninneko 	Chrysler 	maedy 	KUREBAYAS 	kircheis 	15 	14
2875 	Chrysler 	hiro_ 	irina 	borma 	Caesar 	KUREBAYAS 	amain 	ninneko 	10 	9
2876 	moomin 	arata 	maedy 	suisei 	Caesar 	teranushi 	Cartier 	bashoh 	15 	14
2877 	Caesar 	Cartier 	hiro_ 	Hikari 	roki 	maedy 	Izzey 	TENKA 	11 	10
2878 	maedy 	Izzey 	Cartier 	Hikari 	roki 	Caesar 	TENKA 	borma 	16 	15
2879 	roki 	arata 	bashoh 	poll 	Caesar 	maedy 	say_to 	kircheis 	13 	12
2880 	teranushi 	maedy 	bashoh 	koryu5 	roki 	Hikari 	borma 	kircheis 	17 	16
2881 	maedy 	say_to 	poll 	borma 	roki 	Hikari 	kircheis 	suisei 	17 	16
2882 	roki 	Hikari 	bashoh 	borma 	Caesar 	maedy 	kircheis 	suisei 	16 	15
2883 	roki 	say_to 	Hikari 	yuzuki 	Caesar 	maedy 	borma 	kircheis 	18 	17
2884 	Chrysler 	Cartier 	Hikari 	amain 	Caesar 	iti_monme 	syuu 	suisei 	15 	14
2885 	Caesar 	say_to 	Hikari 	amain 	arata 	iti_monme 	syuu 	suisei 	14 	13
2886 	Chrysler 	hiro_ 	iti_monme 	suisei 	moomin 	say_to 	Hikari 	TENKA 	13 	12
2887 	Izzey 	Cartier 	say_to 	Hikari 	moomin 	arata 	tyotto 	yy 	12 	11
2888 	moomin 	Izzey 	syuu 	TENKA 	Caesar 	arata 	Hikari 	_RS_ 	17 	16
2889 	arata 	syuu 	amain 	TENKA 	Caesar 	Hikari 	Player3 	itou 	15 	14
2890 	Caesar 	say_to 	amain 	itou 	Izzey 	syuu 	Player3 	TENKA 	14 	13
2891 	Caesar 	arata 	syuu 	TENKA 	roki 	otyoufx 	fiiisan 	amain 	14 	13
2892 	roki 	mikan 	itou 	yuzuki 	fiiisan 	Player3 	amain 	TENKA 	16 	15
2893 	moomin 	maedy 	TENKA 	yy 	Caesar 	say_to 	Hikari 	suisei 	12 	11
2894 	Caesar 	arata 	say_to 	Hikari 	roki 	moomin 	maedy 	suisei 	12 	11
2895 	poppio 	hiro_ 	samayo 	Lionjack 	Izzey 	Cartier 	TENKA 	vabiron 	15 	14
2896 	roki 	maedy 	TENKA 	yy 	arata 	hiro_ 	Hikari 	Curious 	14 	13
2897 	arata 	maedy 	Hikari 	Curious 	culchan 	Cartier 	TENKA 	yuzuki 	17 	16
2898 	aikuchi 	Cartier 	hiro_ 	Hikari 	culchan 	maedy 	syuu 	TENKA 	13 	12
2899 	roki 	Cartier 	syuu 	Player3 	culchan 	maedy 	Hikari 	TENKA 	12 	11
2900 	arata 	teranushi 	say_to 	fiiisan 	ress 	Lia 	poppio 	samayo 	15 	14
2901 	roki 	Hikari 	Player3 	yuzuki 	Lia 	maedy 	bashoh 	yasunofu 	14 	13
2902 	culchan 	moomin 	mmn 	minagi 	pietan 	roki 	hiro_ 	yuzuki 	13 	12
2903 	pietan 	Izzey 	Cartier 	hiro_ 	culchan 	roki 	Lia 	Lionjack 	7 	6
2904 	aikuchi 	Cartier 	say_to 	amain 	roki 	arata 	Player3 	Lionjack 	12 	11
2905 	culchan 	aikuchi 	Player3 	Lionjack 	roki 	moomin 	say_to 	amain 	18 	17
2906 	pietan 	roki 	say_to 	yy 	moomin 	Lia 	maedy 	Izzey 	15 	14
2907 	roki 	Caesar 	arata 	kircheis 	aikuchi 	maedy 	Izzey 	hiro_ 	13 	12
2908 	aikuchi 	Caesar 	Cartier 	maedy 	culchan 	arata 	Izzey 	hiro_ 	18 	17
2909 	arata 	maedy 	tyotto 	kircheis 	Izzey 	hiro_ 	say_to 	wildcarp 	13 	12
2910 	MisakaMikoto 	syuu 	TENKA 	Lionjack 	maedy 	Izzey 	hiro_ 	Player3 	17 	16
2911 	arata 	maedy 	vabiron 	Lionjack 	Caesar 	Player3 	TENKA 	kircheis 	9 	8
2912 	Caesar 	Player3 	TENKA 	vabiron 	Chrysler 	maedy 	kircheis 	Lionjack 	19 	18
2913 	Player3 	mitukunn 	amain 	hepocon 	teranushi 	Lionjack 	Curious 	minagi 	17 	16
2914 	aikuchi 	Lionjack 	Curious 	ninneko 	Player3 	En_AOC 	amain 	kircheis 	12 	11
2915 	En_AOC 	borma 	itou 	minagi 	bashoh 	amain 	samayo 	kircheis 	13 	12
2916 	moomin 	say_to 	bashoh 	GuroMen 	Chrysler 	syuu 	TENKA 	kircheis 	14 	13
2917 	moomin 	Izzey 	TENKA 	kircheis 	hiro_ 	syuu 	Hikari 	Player3 	16 	15
2918 	hiro_ 	Hikari 	Player3 	kircheis 	Izzey 	syuu 	TENKA 	Lionjack 	12 	11
2919 	Chrysler 	say_to 	yoshihiro 	amain 	papasu 	Cartier 	wildcarp 	GuroMen 	13 	12
2920 	roki 	maedy 	wildcarp 	GuroMen 	Chrysler 	Hikari 	yoshihiro 	TENKA 	16 	15
2921 	moomin 	maedy 	Hikari 	GuroMen 	roki 	Chrysler 	TENKA 	wildcarp 	14 	13
2922 	roki 	teranushi 	maedy 	ninneko 	papasu 	Chrysler 	Hikari 	kircheis 	18 	17
2923 	aikuchi 	teranushi 	GuroMen 	ninneko 	roki 	syuu 	En_AOC 	Lionjack 	18 	17
2924 	aikuchi 	roki 	En_AOC 	ninneko 	moomin 	teranushi 	syuu 	Lionjack 	14 	13
2925 	guren 	syuu 	minagi 	yuzuki 	moomin 	En_AOC 	mikan 	Lionjack 	17 	16
2926 	teranushi 	syuu 	Hikari 	yuzuki 	moomin 	En_AOC 	SystemC 	mikan 	14 	13
2927 	mmn 	say_to 	En_AOC 	amain 	moomin 	Hikari 	Player3 	minagi 	9 	8
2928 	moomin 	En_AOC 	itou 	kircheis 	say_to 	Hikari 	Player3 	amain 	15 	14
2929 	Izzey 	say_to 	Player3 	En_AOC 	papasu 	Hikari 	amain 	TENKA 	13 	12
2930 	Izzey 	En_AOC 	GuroMen 	kircheis 	Hikari 	Player3 	simantyu 	TENKA 	9 	8
2931 	aikuchi 	maedy 	TENKA 	GuroMen 	Caesar 	Izzey 	En_AOC 	vabiron 	15 	14
2932 	Caesar 	Lia 	Hikari 	mikan 	Chrysler 	maedy 	Izzey 	GuroMen 	14 	13
2933 	Caesar 	maedy 	En_AOC 	ninneko 	Lia 	hiro_ 	Hikari 	mikan 	13 	12
2934 	teranushi 	Lia 	syuu 	ninneko 	Caesar 	hiro_ 	Hikari 	mikan 	10 	9
2935 	Chrysler 	Lia 	Hikari 	GuroMen 	Caesar 	hiro_ 	syuu 	mikan 	14 	13
2936 	aikuchi 	moomin 	En_AOC 	GuroMen 	MisakaMikoto 	iti_monme 	hiro_ 	ninneko 	16 	15
2937 	moomin 	iti_monme 	say_to 	ninneko 	aikuchi 	hiro_ 	En_AOC 	GuroMen 	16 	15
2938 	Lia 	teranushi 	say_to 	hiro_ 	Caesar 	Chrysler 	iti_monme 	En_AOC 	13 	12
2939 	maedy 	Izzey 	say_to 	syuu 	aikuchi 	moomin 	poll 	vabiron 	13 	12
2940 	maedy 	Izzey 	iti_monme 	poll 	moomin 	Chrysler 	vabiron 	Curious 	9 	8
2941 	Caesar 	maedy 	iti_monme 	syuu 	moomin 	Chrysler 	Lia 	Curious 	11 	10
2942 	arata 	mmn 	iti_monme 	Hikari 	papasu 	Lia 	say_to 	amain 	14 	13
2943 	papasu 	arata 	poll 	GuroMen 	Lia 	iti_monme 	say_to 	Hikari 	16 	15
2944 	papasu 	Caesar 	Hikari 	amain 	aikuchi 	arata 	say_to 	GuroMen 	17 	16
2945 	Caesar 	Chrysler 	say_to 	Hikari 	aikuchi 	Izzey 	hiro_ 	syuu 	13 	12
2946 	arata 	Chrysler 	say_to 	syuu 	aikuchi 	Caesar 	Izzey 	GuroMen 	9 	8
2947 	Caesar 	arata 	Chrysler 	Hikari 	aikuchi 	Lia 	maedy 	Izzey 	14 	13
2948 	Chrysler 	maedy 	Izzey 	_RS_ 	papasu 	Lia 	Hikari 	syura 	15 	14
2949 	moomin 	arata 	GuroMen 	kircheis 	papasu 	iti_monme 	mitukunn 	borma 	13 	12
2950 	moomin 	arata 	GuroMen 	kircheis 	co2 	iti_monme 	mitukunn 	borma 	9 	8
2951 	co2 	Chrysler 	Lia 	GuroMen 	guren 	roki 	iti_monme 	mitukunn 	15 	14
2952 	arata 	Izzey 	syuu 	TENKA 	moomin 	Cartier 	Hikari 	amain 	14 	13
2953 	aikuchi 	arata 	Izzey 	TENKA 	otyoufx 	teranushi 	Cartier 	Hikari 	10 	9
2954 	Chrysler 	maedy 	Izzey 	syuu 	arata 	Lia 	say_to 	En_AOC 	11 	10
2955 	arata 	Chrysler 	maedy 	syuu 	aikuchi 	Lia 	Izzey 	say_to 	11 	10
2956 	teranushi 	Rai^-^ 	amain 	mashu 	Chrysler 	yoshihiro 	mitukunn 	SystemC 	14 	13
2957 	Izzey 	hiro_ 	Player3 	bashoh 	moomin 	say_to 	itou 	wildcarp 	12 	11
2958 	moomin 	Izzey 	Player3 	itou 	arata 	maedy 	bashoh 	amain 	13 	12
2959 	arata 	maedy 	Hikari 	amain 	moomin 	syuu 	Player3 	bashoh 	9 	8
2960 	moomin 	hiro_ 	Hikari 	Player3 	Chrysler 	maedy 	say_to 	amain 	14 	13
2961 	arata 	hiro_ 	Hikari 	Player3 	Chrysler 	maedy 	say_to 	nanaco 	12 	11
2962 	Caesar 	maedy 	say_to 	wildcarp 	Chrysler 	poppio 	hiro_ 	kircheis 	14 	13
2963 	arata 	mmn 	Cartier 	Hikari 	aikuchi 	roki 	syuu 	TENKA 	11 	10
2964 	arata 	poppio 	say_to 	syuu 	roki 	Chrysler 	maedy 	bashoh 	14 	13
2965 	Cartier 	iti_monme 	amain 	SystemC 	teranushi 	Player3 	poll 	GuroMen 	13 	12
2966 	arata 	bashoh 	TENKA 	itou 	maedy 	Cartier 	kircheis 	wildcarp 	15 	14
2967 	poppio 	maedy 	Cartier 	bashoh 	aikuchi 	arata 	TENKA 	wildcarp 	13 	12
2968 	poppio 	maedy 	syuu 	bashoh 	arata 	Cartier 	Hikari 	TENKA 	15 	14
2969 	arata 	say_to 	Hikari 	TENKA 	poppio 	Cartier 	hiro_ 	kircheis 	10 	9
2970 	Chrysler 	otyoufx 	say_to 	kircheis 	Caesar 	poppio 	Dummy1600 	TENKA 	15 	14
2971 	mmn 	poppio 	Izzey 	bashoh 	arata 	Caesar 	Dummy1600 	wildcarp 	15 	14
2972 	teranushi 	Dummy1200 	amain 	mitukunn 	Molt 	Rai^-^ 	Player3 	siba 	10 	9
2973 	arata 	Hikari 	tyotto 	amain 	aikuchi 	syuu 	daichi 	Curious 	14 	13
2974 	aikuchi 	Cartier 	amain 	daichi 	arata 	syuu 	Hikari 	kircheis 	12 	11
2975 	roki 	Hikari 	amain 	t-masa 	arata 	Caesar 	TENKA 	kircheis 	21 	20
2976 	pietan 	arata 	TENKA 	mashu 	culchan 	Caesar 	Hikari 	kircheis 	18 	17
2977 	culchan 	Hikari 	mashu 	kircheis 	Caesar 	oSaru 	TENKA 	simantyu 	19 	18
